Bubble Sort, 25000, 1, 5.109687, 1
Bubble Sort, 50000, 1, 20.484525, 1
Bubble Sort, 75000, 1, 46.810833, 1
Bubble Sort, 100000, 1, 83.587971, 1
Bubble Sort, 125000, 1, 131.034882, 1
Bubble Sort, 150000, 1, 188.088157, 1
Bubble Sort, 175000, 1, 256.126919, 1
Bubble Sort, 200000, 1, 336.065288, 1
Bucket Sort, 25000, 1, 0.000936, 1
Bucket Sort, 50000, 1, 0.001877, 1
Bucket Sort, 75000, 1, 0.002872, 1
Bucket Sort, 100000, 1, 0.003885, 1
Bucket Sort, 125000, 1, 0.004846, 1
Bucket Sort, 150000, 1, 0.005686, 1
Bucket Sort, 175000, 1, 0.006790, 1
Bucket Sort, 200000, 1, 0.007387, 1
Counting Sort, 25000, 1, 0.000810, 1
Counting Sort, 50000, 1, 0.001552, 1
Counting Sort, 75000, 1, 0.002342, 1
Counting Sort, 100000, 1, 0.003139, 1
Counting Sort, 125000, 1, 0.003997, 1
Counting Sort, 150000, 1, 0.004571, 1
Counting Sort, 175000, 1, 0.005400, 1
Counting Sort, 200000, 1, 0.006258, 1
Insertion Sort, 25000, 1, 0.956230, 1
Insertion Sort, 50000, 1, 3.770394, 1
Insertion Sort, 75000, 1, 8.662046, 1
Insertion Sort, 100000, 1, 15.401366, 1
Insertion Sort, 125000, 1, 23.921139, 1
Insertion Sort, 150000, 1, 34.592749, 1
Insertion Sort, 175000, 1, 47.394530, 1
Insertion Sort, 200000, 1, 61.457002, 1
Selection Sort, 25000, 1, 0.769612, 1
Selection Sort, 50000, 1, 3.076186, 1
Selection Sort, 75000, 1, 6.913994, 1
Selection Sort, 100000, 1, 12.281086, 1
Selection Sort, 125000, 1, 19.165502, 1
Selection Sort, 150000, 1, 27.672532, 1
Selection Sort, 175000, 1, 37.070890, 1
Selection Sort, 200000, 1, 49.161070, 1
Quick Sort, 25000, 1, 0.064171, 1
Quick Sort, 50000, 1, 0.248679, 1
Quick Sort, 75000, 1, 0.551904, 1
Quick Sort, 100000, 1, 0.972357, 1
Quick Sort, 125000, 1, 1.511645, 1
Quick Sort, 150000, 1, 2.176468, 1
Quick Sort, 175000, 1, 2.952856, 1
Quick Sort, 200000, 1, 3.833556, 1
