OMP Matrix multiplication, 250x250x250, 1, 0.085035, 1
OMP Matrix multiplication, 500x500x500, 1, 0.659432, 1
OMP Matrix multiplication, 750x750x750, 1, 2.298903, 1
OMP Matrix multiplication, 1000x1000x1000, 1, 5.364075, 1
OMP Matrix multiplication, 1250x1250x1250, 1, 10.292693, 1
OMP Matrix multiplication, 1500x1500x1500, 1, 18.201036, 1
OMP Matrix multiplication, 1750x1750x1750, 1, 29.599563, 1
OMP Matrix multiplication, 2000x2000x2000, 1, 47.114183, 1
OMP Matrix multiplication, 250x250x250, 2, 0.043192, 1
OMP Matrix multiplication, 500x500x500, 2, 0.343000, 1
OMP Matrix multiplication, 750x750x750, 2, 1.119281, 1
OMP Matrix multiplication, 1000x1000x1000, 2, 2.680860, 1
OMP Matrix multiplication, 1250x1250x1250, 2, 5.198457, 1
OMP Matrix multiplication, 1500x1500x1500, 2, 9.091406, 1
OMP Matrix multiplication, 1750x1750x1750, 2, 15.087413, 1
OMP Matrix multiplication, 2000x2000x2000, 2, 23.995170, 1
OMP Matrix multiplication, 250x250x250, 4, 0.021959, 1
OMP Matrix multiplication, 500x500x500, 4, 0.170274, 1
OMP Matrix multiplication, 750x750x750, 4, 0.568827, 1
OMP Matrix multiplication, 1000x1000x1000, 4, 1.347442, 1
OMP Matrix multiplication, 1250x1250x1250, 4, 2.602309, 1
OMP Matrix multiplication, 1500x1500x1500, 4, 4.522512, 1
OMP Matrix multiplication, 1750x1750x1750, 4, 7.468201, 1
OMP Matrix multiplication, 2000x2000x2000, 4, 11.704980, 1
OMP Matrix multiplication, 250x250x250, 8, 0.011579, 1
OMP Matrix multiplication, 500x500x500, 8, 0.086940, 1
OMP Matrix multiplication, 750x750x750, 8, 0.285886, 1
OMP Matrix multiplication, 1000x1000x1000, 8, 0.676743, 1
OMP Matrix multiplication, 1250x1250x1250, 8, 1.320801, 1
OMP Matrix multiplication, 1500x1500x1500, 8, 2.311056, 1
OMP Matrix multiplication, 1750x1750x1750, 8, 3.782760, 1
OMP Matrix multiplication, 2000x2000x2000, 8, 5.913252, 1
OMP Matrix multiplication, 250x250x250, 12, 0.025313, 1
OMP Matrix multiplication, 500x500x500, 12, 0.057881, 1
OMP Matrix multiplication, 750x750x750, 12, 0.329147, 1
OMP Matrix multiplication, 1000x1000x1000, 12, 0.716288, 1
OMP Matrix multiplication, 1250x1250x1250, 12, 0.878097, 1
OMP Matrix multiplication, 1500x1500x1500, 12, 1.758229, 1
OMP Matrix multiplication, 1750x1750x1750, 12, 2.603012, 1
OMP Matrix multiplication, 2000x2000x2000, 12, 4.658726, 1
OMP Matrix multiplication, 250x250x250, 16, 0.023229, 1
OMP Matrix multiplication, 500x500x500, 16, 0.117721, 1
OMP Matrix multiplication, 750x750x750, 16, 0.223860, 1
OMP Matrix multiplication, 1000x1000x1000, 16, 0.576565, 1
OMP Matrix multiplication, 1250x1250x1250, 16, 1.061632, 1
OMP Matrix multiplication, 1500x1500x1500, 16, 1.788581, 1
OMP Matrix multiplication, 1750x1750x1750, 16, 2.852287, 1
OMP Matrix multiplication, 2000x2000x2000, 16, 4.090954, 1
OMP Brick Sort, 25000, 1, 2.226210, 1
OMP Brick Sort, 50000, 1, 9.225790, 1
OMP Brick Sort, 75000, 1, 20.673432, 1
OMP Brick Sort, 100000, 1, 37.378268, 1
OMP Brick Sort, 125000, 1, 58.574512, 1
OMP Brick Sort, 150000, 1, 83.816556, 1
OMP Brick Sort, 175000, 1, 113.773102, 1
OMP Brick Sort, 200000, 1, 149.375728, 1
OMP Brick Sort, 25000, 2, 2.227225, 1
OMP Brick Sort, 50000, 2, 9.132850, 1
OMP Brick Sort, 75000, 2, 20.635871, 1
OMP Brick Sort, 100000, 2, 37.437465, 1
OMP Brick Sort, 125000, 2, 57.745331, 1
OMP Brick Sort, 150000, 2, 84.208214, 1
OMP Brick Sort, 175000, 2, 113.221285, 1
OMP Brick Sort, 200000, 2, 150.080633, 1
OMP Brick Sort, 25000, 4, 2.225135, 1
OMP Brick Sort, 50000, 4, 9.112674, 1
OMP Brick Sort, 75000, 4, 20.963405, 1
OMP Brick Sort, 100000, 4, 36.852827, 1
OMP Brick Sort, 125000, 4, 58.493540, 1
OMP Brick Sort, 150000, 4, 83.072727, 1
OMP Brick Sort, 175000, 4, 114.688833, 1
OMP Brick Sort, 200000, 4, 149.104957, 1
OMP Brick Sort, 25000, 8, 2.202236, 1
